자치구별(2),경도,위도,교통사고수 (건),사업체수 (개),주점수,음주사고수 (건),인구밀도 (명/㎢),주차 면수 (면수),차량통행속도,휘발유 사용량,경유 사용량,LPG 사용량,도시공원수 (개소),도시공원면적 (천㎡)
마포구,126.9087792,37.5622933,1494,37290,8130,118,16180,186203,24.2,128,131,73,98,3126.9
양천구,126.8561354,37.5270363,1506,25894,3313,64,26559,162797,25.4,386,316,540,103,2489.5
강서구,126.8226558,37.5657621,1829,39458,6052,110,14438,262157,23.2,652,840,500,158,3285.9
구로구,126.8581205,37.4956768,1529,38756,4457,103,21837,183896,22.8,387,669,521,64,3014.4
금천구,126.9001525,37.4600745,920,33814,3101,76,19341,129455,22.5,269,277,109,47,2042.2
영등포구,126.9139239,37.5206414,2439,42370,6780,114,16334,184322,23.8,562,489,491,74,705.6
동작구,126.9443079,37.4965073,1406,19793,3362,67,25003,134083,26.3,227,158,102,63,4390.2
관악구,126.9438067,37.4654,1363,25505,4950,95,17496,152131,25.1,250,201,190,98,10970.4
서초구,127.0378001,37.4769532,2418,46940,6222,152,9261,261294,26.1,1022,852,177,151,15274.2
강남구,127.1144708,37.5048509,3722,71027,12328,293,13929,395951,24.4,692,507,1053,142,5304.7
송파구,127.0664088,37.4959815,2892,48644,7109,161,20156,351025,24.2,999,3178,244,156,2037.6
강동구,127.1464401,37.549233,1414,29080,4265,64,17909,193311,23.4,212,201,351,115,2827.5
종로구,126.986175,37.5991001,903,50531,7401,47,6649,95048,23.6,69,77,40,69,6280.7
중구,126.9941953,37.5579449,955,76129,6585,49,13517,107738,21.4,79,60,442,61,3091.3
용산구,126.9809422,37.5311061,890,31507,4838,65,11188,116870,27.1,115,135,16,69,760.6
성동구,127.0409626,37.5506718,1119,41582,3885,80,17822,133161,25.4,271,330,268,65,1231
광진구,127.085765,37.5481447,869,35423,4456,83,21105,138795,25.2,411,330,165,46,2985.3
동대문구,127.0506879,37.5837941,1448,43029,4283,76,25114,142300,24.1,264,264,315,80,978.1
중랑구,127.093966,37.5953753,1447,38558,3869,67,21603,134695,23.1,265,312,247,65,4807.6
성북구,127.0232435,37.6069889,1275,34420,3580,54,18190,156364,24.5,517,412,149,86,4586.8
강북구,127.0147136,37.6469903,1087,26711,3663,44,13202,92315,21.7,198,184,242,64,2369.6
도봉구,127.0317954,37.6658587,741,25607,2440,39,15852,112865,21.5,284,244,163,52,1250.2
노원구,127.0771199,37.6552597,1462,37442,3752,86,14872,183172,23.6,241,183,417,136,14406.7
은평구,126.9227001,37.6176107,953,36273,4016,72,16292,164010,21.7,314,250,211,106,6597.5
