자치구별(2),교통사고수 (건),사업체수 (개),주점수,음주사고수 (건),인구밀도 (명/㎢),주차 면수 (면수),차량통행속도,휘발유 사용량,경유 사용량,LPG 사용량,도시공원수 (개소),도시공원면적 (천㎡)
성북구,1275,34420,3580,54,18190,156364,24.5,517,412,149,86,4586.8
강북구,1087,26711,3663,44,13202,92315,21.7,198,184,242,64,2369.6
도봉구,741,25607,2440,39,15852,112865,21.5,284,244,163,52,1250.2
노원구,1462,37442,3752,86,14872,183172,23.6,241,183,417,136,14406.7
은평구,953,36273,4016,72,16292,164010,21.7,314,250,211,106,6597.5
서대문구,928,28769,3918,44,18322,120717,24,235,144,272,82,4843.7
마포구,1272,58694,8285,88,16011,182255,24.9,135,87,72,100,3252.4
양천구,1344,37183,3232,79,26301,170748,25.2,437,358,480,105,2627.1
강서구,1575,58788,6314,120,14140,297275,23.6,614,601,441,163,3427.7
구로구,1325,53547,4266,119,21496,188343,23.3,272,293,484,68,3319.7
금천구,810,47354,3213,90,19035,131017,23.6,231,237,98,47,2610.4
영등포구,2208,74060,6865,129,16595,184321,23.7,540,433,431,75,664.5
동작구,1307,28505,3293,86,24555,136072,26.8,222,128,91,70,4092.5
관악구,1444,38639,5071,91,17241,153117,25.5,219,156,170,101,12424.9
서초구,2250,75858,6174,165,9132,262735,26.8,910,600,159,155,14265.7
강남구,3752,115054,12454,343,13773,398603,25,650,437,1113,149,6479.1
송파구,2595,76412,7384,148,19896,321938,24.1,977,2838,220,160,2097.1
강동구,1268,40978,4016,63,18869,203140,23,199,155,307,116,2820.2
종로구,778,48361,7353,45,6431,96350,22.6,66,83,41,69,6282.5
중구,854,70308,6626,43,13231,108561,20.7,76,46,251,61,3090.9
용산구,1014,29680,4894,72,10852,110649,26.1,119,106,16,69,759.1
성동구,1057,41665,3876,87,17359,134107,23.8,277,306,267,65,1231
광진구,922,33706,4446,72,20666,137040,23.8,383,296,160,50,2993.9
동대문구,1390,42813,4403,42,24762,148063,22.9,269,263,309,76,974.9
중랑구,1373,39310,4006,65,21188,133919,21.9,254,280,240,72,5050.3
성북구,1285,34712,3519,55,17909,155093,23.1,509,385,145,79,4574.6
강북구,1017,26385,3078,54,12820,93845,20.8,203,181,236,64,2370.3
도봉구,591,25391,2445,37,15465,111916,20.8,298,252,158,52,1250.2
노원구,1413,37909,3751,76,14530,183901,22.7,246,178,403,138,14407.8
은평구,867,36509,4050,53,16061,166662,20.9,283,217,205,103,6600
서대문구,930,28522,3910,44,17908,125844,23.2,257,144,269,83,4860.4
마포구,1102,56782,8441,100,15878,182861,23.7,166,99,74,101,3257.9
양천구,1305,37929,3274,76,25882,168382,23.2,460,345,468,105,2627.1
강서구,1501,58806,6329,119,13986,288042,22.7,596,520,429,161,3433.9
구로구,1350,52791,4339,102,20933,190319,22.3,271,281,482,68,3319.7
금천구,827,47964,3184,66,18808,133132,22.2,213,208,96,47,2610.4
영등포구,2178,74562,7123,115,16331,183911,22.9,576,453,419,75,664.5
동작구,1148,27915,3280,54,24113,139766,25.3,222,131,90,70,4091.1
관악구,1419,37915,5073,73,16891,153306,24.6,217,150,166,101,12424.4
서초구,2118,71958,5972,123,8858,264800,24.9,924,588,155,154,14267.7
강남구,3820,110007,12635,281,13616,402283,23.7,658,394,928,151,6501.7
송파구,2607,74531,7511,139,19599,353631,22.9,953,1842,217,161,2097.1
강동구,1047,41660,4373,66,18970,188133,22.4,212,152,298,120,2865.4
종로구,1299,40664,6418,77,,78985,,,,,,
중구,1288,63640,6204,51,,102938,,,,,,
용산구,1428,20994,4349,118,,102472,,,,,,
성동구,1099,26581,3105,80,,122659,,,,,,
광진구,1045,24895,4224,104,,118742,,,,,,
동대문구,2051,32762,4594,106,,128517,,,,,,
중랑구,1535,27915,3806,72,,120644,,,,,,
